index,ISBN,제목,상품명,저자,출판사,설명,국가,장르
21,9788937464652,안과 겉·결혼·여름,안과 겉 결혼 여름,알베르 카뮈 김화영,민음사,마흔 살 젊다 나이 신화 실존 주의 문학 대표 작가 알베르 카뮈 모든 작품 원천 안과 겉 자연 인간 합일 결혼 지중해 추억 여름 수록 삶 절망 삶 사랑 카뮈 신화 되어다 인정 별 의미 롤랑 바르트 카뮈 살 벗어나다 주춧돌 위 올라오다 파트 리크 모디 알다 카뮈 위대하다 탈 나오다 탈 위대하다 자연스럽다 뿐 장 그르니 끊임없다 찾다 질문 던지다 영혼 인사 드리다,프랑스,
22,9791196554866,패배의 신호,패배 신호,프랑수아즈 사강 장소미,녹색광선,패배 신호 La Chamade 늘다 1965년 막 서른 살이 프랑수아 사강 신기하다 구름 1961 4년 추다 간 소설 두 번의 결혼 두 번의 이혼 사이 수많다 연애 거치 난 어머니 모르다 쓸다 수가 느끼다 쓸다 수가 체험 쓸다 수가 고도 말 슬픔 안녕 내놓다 11년 지나 삼십 접다 시점 사강 작품 세계 어떻다 달라지다 사강 앞서다 작품 마찬가지 여전하다 사랑 이별 주제 다루다 작품 패배 신호 깊다 관능 보이다 주다 전작 구체 사랑 욕망 장면 촘촘하 표현 동시 인간 매혹 되어다 발현 심리 묘사 작품 가득 채우다,프랑스,
23,9788954619585,단순한 열정,단순하다 열정,아니 에르노 최정수,문학동네,이별 외로움 무익하다 수난 수난 겪다 내 쓰다 프랑스 문제 작가 에르 노 1991년 발표 단순하다 열정 은 연하 외국인 유부 남 사랑 다루다 서술 성과 선정 탓 추다 간 당시 평단 독자 층 크다 충격 안기다 준 작품 임 상적 해부 가다 철저하다 객관 시선 작가 개인 열정 일반 고도 보편 열정 분석 반 감정 소설 이별 외로움 무익하다 수난 겪다 모든 내 대변 2001년 국내 처음 소개 되어다 꾸준하다 사랑받다 온 작품 문학동네 세계문학 전집 새롭다 속 이재룡 문학평론가 이자 숭실대 불문 교수 해설 더하다 르노 도상 마르 리트 뒤라스 프랑수아 모리 아크 수상하다 생존 작가 최초 갈리 마르 총서 편입 에르 노 독보 품세 이해도 더하다 되어다,프랑스,
24,9788937463211,육체의 악마,육체 악마,레몽 라디게 원윤수,민음사,스무 살 생 마감 천재 작가 레몽 라디게 17 세 발표 심리 소설 역작 소년 위험하다 사랑 열정 전쟁 앞 내 몰리다 인간 내면 통찰 1 차 세계 대전 종전 추다 간 레몽 라디게 제작 육체 악마 가다 민음사 세계문학 전집 추다 간 되어다 작품 살 소년 군인 아내 비도덕적 사랑 주제 점 이러하다 쓸다 작가 불과 살 지나다 점 당시 프랑스 사회 크다 충격 빠뜨리다 사춘기 소년 중심 욕망 손 잡히다 충 모순 솔직하다 내면 심리 섬세 간결하다 묘사 내다 라디게 육체 악마 통해 전쟁 확산 무위 허무 주의 속 내 몰리다 인간 불안정하다 심리 훌륭하다 그리다 내미다 프랑스 주의 소설 새롭다 부활 동시 완성 내다 평가 받다,프랑스,
25,9791197182204,애린 왕자,애린 왕자,앙투안 드 생텍쥐페리 원저 최현애,이팝,원작 어리다 왕자 늘다 전세계 독자 기억 속 너머 체 전설 자리 잡고 주인공 어리다 왕자 언어 행동 동심 유년 순수하다 어른 세계 투명하다 비추다 주다 1943년 추다 간 어른 위 화이자 세계 고전 자리 잡다 대체 불가 설명 불가 해석 불가하다 독자 사랑 꾸준하다 받다 사투리 재 해석 애린 왕자 늘다 언어 실험 일환 세월 엷다 동심 소환 새롭다 형식 보여주다 역자 원작 감동 전달 언어 너머 프랑스어 영어 표준어 거치다 롯 경상도 사투리 원문 담다 과정 지역 정서 녹다 개성 동심 정감 넘치다 사투리 만날 발음 충실하다 사투리 표기 맞춤법 깨 트리 탈 재미 만끽 애린 왕자 늘다 도서 출판 팝 첫 단행본 이자 투안 드 생텍쥐페리 탄생 120 주년 기념 추다 간 책,프랑스,
26,9788931021516,구토,구토,장 폴 사르트르 임호경,문예출판사,20 세기 프랑스 대표 지성 사르트르 사상 출발점 구토 사르트르 철학 저작 중 단연 중요하다 책 한나 렌트 사르트르 대표 작 구토 가다 역자 임호 경의 새롭다 번역 추다 간 되어다 원문 의미 살리다 가독성 높이다 매끄럽다 번역 20 세기 걸작 구토 이해 해주다 프랑스 갈리 마르 출판사 정식 계약 추다 가다 국내 완역 구토 늘다 사르트르 철학 사유 체험 문학 형상 작품 주인공 투안 로캉탱 고독 전형 연금 생활자 돈 가지 섬기다 상관 아내 자식 낙오 날 바닷가 물수제비 놀이 돌멩이 집다 던지다 순간 모종 불쾌감 느끼다 후일 느낌 구토 명명하다,프랑스,
27,9788937460180,고리오 영감,리오 영감,발자크 박영근,민음사,비판 주의 문학 선구자 오노 레 드 발자크 인간 군상 비루하다 속물 근성 적나라하다 드러내다 소설 놀랍다 통찰 역사 방향 미리 제시 발자크 다운 작품 내 심장 자르다 버리다 소용없다 잘리다 심장 토막 아비 심장 테 외젠 드 라스 티 크다 20 대다 초반 법학 도로 가난하다 귀족 집안 출신 성공 꿈꾸다 파리 유학 오다 보 케르 부인 하숙집 기다 파리 사회 성공하다 재력 수완 부족하다 중 멀다 친척 자작 부인 도움 몸 담다 사회 전혀 파리 사교계 발 들여놓다 한편 라스 티 크다 하숙집 옆방 리오 영감 살 라스 티 크다 왕년 업 크다 돈 벌다 뿐 레 스토 백작 부인과 뉘싱겐 남작 부인 아버지 출세 수단 삼다,프랑스,
28,9791171311644,시지프 신화,시지프 신화,알베르 카뮈 김화영,책세상,책 세상 카뮈 전집 개정판 8 권 카뮈 작품 세계 관통 부조리 사상 시작 철학 에세이 소설 이방인 희곡 칼리굴라 오다 카뮈 부조리 3 부작 중 이방인 추다 간 5 개월 내 발표 작품 이방인 해설 꼽히다 기도 삶 이유 찾다 헤매다 부조리 추론 그리스 신화 속 시지프 시시포스 명철하다 날카롭다 의식 작가 부조리 철학 전개 나가다,프랑스,
29,9788984374409,"당신, 거기 있어줄래요? Seras-tu la?",당신 거기 있다 Seras tu la,기욤 뮈소 전미연,밝은세상,되돌리다 기회 주어지다 사랑 인생 어떻다 바꾸다 인생 운명 바꾸다 떠나다 사랑 시간여행 한국 영화로 탄생 기욤 뮈소 소설 2007년 거기 초판 나오다 어느새다 15년 세월 흐르다 도서 출판 밝다 세상 은 지난 15년 달라지다 맞춤법 따르다 일부 어휘 수정 한편 등장인물 시대 맞다 대화 체 사용 부분 더러 새롭다 교정 작업 거치다 개정판 발행 되어다 거기 늘다 2015년 홍 지영 감독 김윤석 변 요한 주연 국내 영화로 제작 되어다 크다 화제 불다 모으다 크게 주목 받다 기욤 뮈소 매년 르 피가로 지다 프랑스 서점 연합 회 조사 베스트셀러 작가 순위 8년 연속 1 위 기록,프랑스,
30,9788937460364,마담 보바리,마담 보 바리,귀스타브 플로베르 김화영,민음사,현대 소설 기념비 세운 작가 귀스타브 플로베르 주의 소설 시작 동시 완결 작품 카프카 바이블 누보로망 작가 교과서 소설 심장 뛰다 시작 피 몸 속 젖 강물 순환 느끼다 멀리 숲 너머 언덕 위 분간 어렵다 기다 외침 소리 꼬리 길다 끄다 목소리 들려오다,프랑스,
